Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
(cyprinus carpio mirror x cyprinus carpio singuonensis) x carassius auratus red var.	13																																																													0.016581	43.3207	13	(cyprinus carpio mirror x cyprinus carpio singuonensis) x carassius auratus red var.	 										
[candida] bracarensis	8																																																													0.046138	14.0795	12	[candida] bracarensis	[candida] bracarensis	273131									
[candida] castellii	8																																																													0.050294	12.5761	8	[candida] castellii	[candida] castellii	51914									
[candida] glabrata cbs 138	8																																																													0	0	0	[candida] glabrata cbs 138	[candida] glabrata cbs 138	284593									
[candida] nivariensis	8																																																													0.028524	17.4099	11	[candida] nivariensis	[candida] nivariensis	418086									
[candida] norvegica	20																																																													0.04218	17.5984	21	[candida] norvegica	[candida] norvegica	49330									
[candida] psychrophila	14																																																													0.038445	26.7577	25	[candida] psychrophila	[candida] psychrophila	45577									
[candida] vartiovaarae	17																																																													0.033201	20.918	18	[candida] vartiovaarae	[candida] vartiovaarae	51918									
aacanthocnema dobsoni	13																							eats																															Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Paraneoptera | Hemiptera | Sternorrhyncha | Psylloidea | Triozidae | Aacanthocnema					multicellular		0.015179	21.9382	13	aacanthocnema dobsoni	aacanthocnema dobsoni	399255									
abacion magnum	13																																																											multicellular		0.01516	33.4037	13	abacion magnum	abacion magnum	118452									
