Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
acacia ligulata	37	73														sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Acacia				C3 photosynthetic plant	multicellular		0.698138	45.0642	38	acacia ligulata	acacia ligulata	138025								hedge	
ajuga reptans	29	76				hostOf		mutualisticWith		parasitizedBy							high tolerance	herbaceous	no	perennial		medium (normal)					terrestrial plant	low tolerance	medium (normal)		no	high tolerance						terrestrial plant					broad		C3 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Lamiaceae | Ajuga	tolerance		depend	C3 photosynthetic plant	multicellular		0.352069	45.0971	30	ajuga reptans	ajuga reptans	38596								marsh	
allium cepa	26	73				hostOf		mutualisticWith		parasitizedBy	symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Thraupidae | Sporophila			depend	C3 photosynthetic plant	multicellular	MSH1	0.316363	45.3473	26	allium cepa	allium cepa	4679								marine	
ammopiptanthus mongolicus	33	73														sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Ammopiptanthus				C3 photosynthetic plant	multicellular		0.475396	42.7454	79	ammopiptanthus mongolicus	ammopiptanthus mongolicus	126911								terrestrial	
arabidopsis thaliana	31	75				hostOf				parasitizedBy																	terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Acacia			depend	C3 photosynthetic plant	multicellular	MSH1	0.652063	45.4593	55	arabidopsis thaliana	arabidopsis thaliana	3702								mountain	
arabis alpina	31	73																									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Arabis				C3 photosynthetic plant	multicellular	MSH1	0	0	0	arabis alpina	arabis alpina	50452								mountain	
asclepias syriaca	36	74					isEatenBy	mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria			depend	C3 photosynthetic plant	multicellular		0.682498	43.4268	37	asclepias syriaca	asclepias syriaca	48545								desert	
batis maritima	39					hostOf	isEatenBy			parasitizedBy	symbiontOf					sessile	low tolerance	woody	no			medium (normal)					terrestrial plant	high tolerance	medium (normal)		no							terrestrial plant					broad		C3 photosynthetic plant		medium (normal)				woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | Strisores | Apodiformes | Apodidae | Aeronautes	tolerance		depend	C3 photosynthetic plant	multicellular		0.40393	45.4121	112	batis maritima	batis maritima	4436								coastal	
beta macrocarpa	31							mutualisticWith																																															Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Amaranthaceae			depend		multicellular		0.38522	43.8928	156	beta macrocarpa	beta macrocarpa	343494								hedge	
boechera stricta	31																medium (normal)		no			medium (normal)					terrestrial plant	none	low tolerance		no	low tolerance						terrestrial plant					broad				low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Carex	tolerance				multicellular		0.271601	44.9314	31	boechera stricta	boechera stricta	72658								terrestrial	
