Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
pilostyles aethiopica	3							mutualisticWith																																															Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Cucurbitales | Apodanthaceae | Pilostyles			depend		multicellular		0.011348	24.2333	3	pilostyles aethiopica	pilostyles aethiopica	301899									
pilostyles hamiltonii	3							mutualisticWith			symbiontOf																																												Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Cucurbitales | Apodanthaceae | Pilostyles			depend		multicellular		0.015167	22.6676	4	pilostyles hamiltonii	pilostyles hamiltonii	448041									
asarum minus	7																																																											multicellular		0.015553	32.2832	7	asarum minus	asarum minus	76132									
cytinus hypocistis	14							mutualisticWith																			terrestrial plant											terrestrial plant													herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malvales | Cytinaceae | Cytinus			depend		multicellular		0.0194	29.8866	15	cytinus hypocistis	cytinus hypocistis	327100									
hydnora visseri	15								parasiteOf																																													parasite	Unknown			depend		multicellular		0.027233	23.4128	17	hydnora visseri	hydnora visseri	1329980									
burmannia oblonga	16											mycotroph																																											Unknown					multicellular		0.039386	33.2225	22	burmannia oblonga	burmannia oblonga	396658									
epipogium aphyllum	17																			perennial							terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Epipogium				C3 photosynthetic plant	multicellular		0.03065	32.8385	22	epipogium aphyllum	epipogium aphyllum	449980									
epipogium roseum	18																			perennial							terrestrial plant											terrestrial plant					broad								herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Epipogium					multicellular		0.019047	30.619	18	epipogium roseum	epipogium roseum	556037									
gastrodia elata	18							mutualisticWith	parasiteOf		symbiontOf	mycotroph								perennial																																		parasite	Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Gastrodia			depend		multicellular		0.035304	26.7703	20	gastrodia elata	gastrodia elata	91201									
monotropsis odorata	18																																																											multicellular		0.032752	31.2042	20	monotropsis odorata	monotropsis odorata	176252									
