Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
bomarea edulis	75							mutualisticWith						Campinarana				herbaceous		perennial																																			Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Liliales | Alstroemeriaceae | Bomarea			depend		multicellular		0.154925	38.1888	84	bomarea edulis	bomarea edulis	198697									
kingdonia uniflora	67																																																						Unknown					multicellular	MSH1	0.147378	37.8367	78	kingdonia uniflora	kingdonia uniflora	39325									
aphyllon fasciculatum	25							mutualisticWith	parasiteOf		symbiontOf									perennial							terrestrial plant											terrestrial plant					broad								herbaceous			parasite	Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Orobanchaceae | Aphyllon			depend		multicellular		0.106796	34.6642	34	aphyllon fasciculatum	aphyllon fasciculatum	48537									
stipa lipskyi	70																	graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae					multicellular		0.137854	38.8005	81	stipa lipskyi	stipa lipskyi	1747705								prairie	
dactyloctenium aegyptium	75						isEatenBy											graminoid									terrestrial plant											terrestrial plant					broad		C4 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Dactyloctenium				C4 photosynthetic plant	multicellular		0.134889	38.3997	85	dactyloctenium aegyptium	dactyloctenium aegyptium	270102									
gossypium thurberi	74	36				hostOf		mutualisticWith		parasitizedBy																																			C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malvales | Malvaceae | Gossypium			depend	C3 photosynthetic plant	multicellular		0.160264	37.218	85	gossypium thurberi	gossypium thurberi	34273									
solanum multiinterruptum	74																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae | Solanum					multicellular		0.155514	37.8551	85	solanum multiinterruptum	solanum multiinterruptum	317829								terrestrial	
bixa orellana	75						isEatenBy							Cerrado													terrestrial plant											terrestrial plant					broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malvales | Bixaceae | Bixa					multicellular		0.159708	36.4152	84	bixa orellana	bixa orellana	66672									
toona ciliata	75																	tree									terrestrial plant											terrestrial plant	monoecious				broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Sapindales | Meliaceae | Toona				C3 photosynthetic plant	multicellular		0.159502	37.9111	89	toona ciliata	toona ciliata	67918								subtropical	
ulmus gaussenii	68																																																		woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Ulmaceae | Ulmus					multicellular		0.160094	35.451	79	ulmus gaussenii	ulmus gaussenii	1737301								mountain	
